"snrdB","cl","pr"
"171",-25,"4","1"
"172",-25,"4","3"
"173",-25,"4","5"
"174",-25,"4","1"
"175",-25,"4","4"
"176",-25,"4","5"
"177",-25,"4","4"
"178",-25,"4","4"
"179",-25,"4","1"
"180",-25,"4","6"
"181",-25,"4","6"
"182",-25,"4","2"
"183",-25,"4","1"
"184",-25,"4","5"
"185",-25,"4","5"
"186",-25,"4","5"
"187",-25,"4","2"
"188",-25,"4","3"
"189",-25,"4","4"
"190",-25,"4","1"
"191",-25,"4","6"
"192",-25,"4","3"
"193",-25,"4","4"
"194",-25,"4","4"
"195",-25,"4","2"
"196",-25,"4","2"
"197",-25,"4","1"
"198",-25,"4","5"
"199",-25,"4","1"
"200",-25,"4","6"
"201",-24,"4","4"
"202",-24,"4","1"
"203",-24,"4","1"
"204",-24,"4","4"
"205",-24,"4","1"
"206",-24,"4","1"
"207",-24,"4","1"
"208",-24,"4","3"
"209",-24,"4","1"
"210",-24,"4","4"
"211",-24,"4","5"
"212",-24,"4","4"
"213",-24,"4","5"
"214",-24,"4","6"
"215",-24,"4","4"
"216",-24,"4","1"
"217",-24,"4","4"
"218",-24,"4","5"
"219",-24,"4","5"
"220",-24,"4","1"
"221",-24,"4","4"
"222",-24,"4","4"
"223",-24,"4","5"
"224",-24,"4","6"
"225",-24,"4","1"
"226",-24,"4","6"
"227",-24,"4","5"
"228",-24,"4","1"
"229",-24,"4","2"
"230",-24,"4","2"
"231",-24,"4","5"
"232",-24,"4","4"
"233",-24,"4","2"
"234",-24,"4","3"
"235",-24,"4","4"
"236",-24,"4","4"
"237",-24,"4","5"
"238",-24,"4","6"
"239",-24,"4","4"
"240",-24,"4","4"
"241",-24,"4","5"
"242",-24,"4","2"
"243",-24,"4","3"
"244",-24,"4","3"
"245",-24,"4","3"
"246",-24,"4","6"
"247",-24,"4","1"
"248",-24,"4","4"
"249",-24,"4","3"
"250",-24,"4","1"
"251",-24,"4","4"
"252",-24,"4","2"
"253",-24,"4","3"
"254",-24,"4","3"
"255",-24,"4","4"
"256",-24,"4","1"
"257",-24,"4","2"
"258",-24,"4","6"
"259",-24,"4","1"
"260",-24,"4","3"
"261",-24,"4","3"
"262",-24,"4","5"
"263",-24,"4","1"
"264",-24,"4","4"
"265",-24,"4","6"
"266",-24,"4","5"
"267",-24,"4","5"
"268",-24,"4","6"
"269",-24,"4","2"
"270",-24,"4","1"
"271",-24,"4","4"
"272",-24,"4","1"
"273",-24,"4","1"
"274",-24,"4","5"
"275",-24,"4","3"
"276",-24,"4","4"
"277",-24,"4","6"
"278",-24,"4","1"
"279",-24,"4","1"
"280",-24,"4","3"
"281",-24,"4","3"
"282",-24,"4","4"
"283",-24,"4","3"
"284",-24,"4","5"
"285",-24,"4","3"
"286",-24,"4","4"
"287",-24,"4","2"
"288",-24,"4","3"
"289",-24,"4","4"
"290",-24,"4","1"
"291",-24,"4","4"
"292",-24,"4","4"
"293",-24,"4","3"
"294",-24,"4","3"
"295",-24,"4","6"
"296",-24,"4","1"
"297",-24,"4","1"
"298",-24,"4","6"
"299",-24,"4","1"
"300",-24,"4","4"
"301",-24,"4","2"
"302",-24,"4","5"
"303",-24,"4","6"
"304",-24,"4","4"
"305",-24,"4","4"
"306",-24,"4","4"
"307",-24,"4","3"
"308",-24,"4","1"
"309",-24,"4","6"
"310",-24,"4","4"
"311",-24,"4","1"
"312",-24,"4","6"
"313",-24,"4","1"
"314",-24,"4","4"
"315",-24,"4","6"
"316",-24,"4","5"
"317",-24,"4","4"
"318",-24,"4","1"
"319",-24,"4","6"
"320",-24,"4","6"
"321",-24,"4","3"
"322",-24,"4","5"
"323",-24,"4","6"
"324",-24,"4","1"
"325",-24,"4","2"
"326",-24,"4","3"
"327",-24,"4","5"
"328",-24,"4","6"
"329",-24,"4","4"
"330",-24,"4","3"
"331",-24,"4","2"
"332",-24,"4","1"
"333",-24,"4","3"
"334",-24,"4","3"
"335",-24,"4","4"
"336",-24,"4","3"
"337",-24,"4","3"
"338",-24,"4","1"
"339",-24,"4","6"
"340",-24,"4","1"
"341",-24,"4","5"
"342",-24,"4","6"
"343",-24,"4","4"
"344",-24,"4","1"
"345",-24,"4","1"
"346",-24,"4","1"
"347",-24,"4","4"
"348",-24,"4","3"
"349",-24,"4","4"
"350",-24,"4","6"
"351",-24,"4","1"
"352",-24,"4","2"
"353",-24,"4","3"
"354",-24,"4","1"
"355",-24,"4","1"
"356",-24,"4","3"
"357",-24,"4","1"
"358",-24,"4","2"
"359",-24,"4","6"
"360",-24,"4","3"
"361",-24,"4","6"
"362",-24,"4","4"
"363",-24,"4","3"
"364",-24,"4","5"
"365",-24,"4","6"
"366",-24,"4","1"
"367",-24,"4","5"
"368",-24,"4","2"
"369",-24,"4","4"
"370",-24,"4","1"
"371",-24,"4","3"
"372",-24,"4","6"
"373",-24,"4","5"
"374",-24,"4","5"
"375",-24,"4","2"
"376",-24,"4","4"
"377",-24,"4","1"
"378",-24,"4","5"
"379",-24,"4","1"
"380",-24,"4","1"
"381",-24,"4","5"
"382",-24,"4","4"
"383",-24,"4","6"
"384",-24,"4","2"
"385",-24,"4","1"
"386",-24,"4","3"
"387",-24,"4","5"
"388",-24,"4","4"
"389",-24,"4","5"
"390",-24,"4","2"
"391",-24,"4","4"
"392",-24,"4","3"
"393",-24,"4","6"
"394",-24,"4","2"
"395",-24,"4","5"
"396",-24,"4","4"
"397",-24,"4","5"
"398",-24,"4","3"
"399",-24,"4","5"
"400",-24,"4","5"
"401",-23,"4","5"
"402",-23,"4","5"
"403",-23,"4","2"
"404",-23,"4","1"
"405",-23,"4","5"
"406",-23,"4","4"
"407",-23,"4","2"
"408",-23,"4","2"
"409",-23,"4","1"
"410",-23,"4","4"
"411",-23,"4","6"
"412",-23,"4","4"
"413",-23,"4","1"
"414",-23,"4","5"
"415",-23,"4","1"
"416",-23,"4","1"
"417",-23,"4","4"
"418",-23,"4","6"
"419",-23,"4","1"
"420",-23,"4","3"
"421",-23,"4","1"
"422",-23,"4","4"
"423",-23,"4","6"
"424",-23,"4","1"
"425",-23,"4","1"
"426",-23,"4","1"
"427",-23,"4","2"
"428",-23,"4","4"
"429",-23,"4","1"
"430",-23,"4","5"
"431",-23,"4","2"
"432",-23,"4","1"
"433",-23,"4","4"
"434",-23,"4","1"
"435",-23,"4","4"
"436",-23,"4","4"
"437",-23,"4","6"
"438",-23,"4","1"
"439",-23,"4","4"
"440",-23,"4","5"
"441",-23,"4","3"
"442",-23,"4","2"
"443",-23,"4","1"
"444",-23,"4","6"
"445",-23,"4","2"
"446",-23,"4","2"
"447",-23,"4","6"
"448",-23,"4","2"
"449",-23,"4","1"
"450",-23,"4","4"
"451",-23,"4","1"
"452",-23,"4","3"
"453",-23,"4","3"
"454",-23,"4","3"
"455",-23,"4","1"
"456",-23,"4","5"
"457",-23,"4","4"
"458",-23,"4","4"
"459",-23,"4","1"
"460",-23,"4","1"
"461",-23,"4","1"
"462",-23,"4","2"
"463",-23,"4","5"
"464",-23,"4","4"
"465",-23,"4","4"
"466",-23,"4","5"
"467",-23,"4","2"
"468",-23,"4","1"
"469",-23,"4","4"
"470",-23,"4","1"
"471",-23,"4","4"
"472",-23,"4","4"
"473",-23,"4","6"
"474",-23,"4","4"
"475",-23,"4","1"
"476",-23,"4","1"
"477",-23,"4","4"
"478",-23,"4","1"
"479",-23,"4","4"
"480",-23,"4","5"
"481",-23,"4","6"
"482",-23,"4","4"
"483",-23,"4","1"
"484",-23,"4","1"
"485",-23,"4","1"
"486",-23,"4","1"
"487",-23,"4","5"
"488",-23,"4","6"
"489",-23,"4","4"
"490",-23,"4","4"
"491",-23,"4","1"
"492",-23,"4","4"
"493",-23,"4","3"
"494",-23,"4","4"
"495",-23,"4","4"
"496",-23,"4","3"
"497",-23,"4","1"
"498",-23,"4","3"
"499",-23,"4","2"
"500",-23,"4","4"
"501",-23,"4","3"
"502",-23,"4","3"
"503",-23,"4","5"
"504",-23,"4","4"
"505",-23,"4","5"
"506",-23,"4","4"
"507",-23,"4","1"
"508",-23,"4","4"
"509",-23,"4","4"
"510",-23,"4","5"
"511",-23,"4","5"
"512",-23,"4","2"
"513",-23,"4","3"
"514",-23,"4","3"
"515",-23,"4","1"
"516",-23,"4","6"
"517",-23,"4","3"
"518",-23,"4","6"
"519",-23,"4","5"
"520",-23,"4","6"
"521",-23,"4","3"
"522",-23,"4","1"
"523",-23,"4","1"
"524",-23,"4","4"
"525",-23,"4","1"
"526",-23,"4","4"
"527",-23,"4","1"
"528",-23,"4","1"
"529",-23,"4","5"
"530",-23,"4","1"
"531",-23,"4","5"
"532",-23,"4","4"
"533",-23,"4","6"
"534",-23,"4","3"
"535",-23,"4","4"
"536",-23,"4","4"
"537",-23,"4","5"
"538",-23,"4","5"
"539",-23,"4","1"
"540",-23,"4","4"
"541",-23,"4","3"
"542",-23,"4","1"
"543",-23,"4","1"
"544",-23,"4","1"
"545",-23,"4","4"
"546",-23,"4","1"
"547",-23,"4","2"
"548",-23,"4","4"
"549",-23,"4","6"
"550",-23,"4","1"
"551",-23,"4","5"
"552",-23,"4","1"
"553",-23,"4","3"
"554",-23,"4","1"
"555",-23,"4","3"
"556",-23,"4","4"
"557",-23,"4","2"
"558",-23,"4","2"
"559",-23,"4","5"
"560",-23,"4","4"
"561",-23,"4","3"
"562",-23,"4","6"
"563",-23,"4","5"
"564",-23,"4","2"
"565",-23,"4","3"
"566",-23,"4","4"
"567",-23,"4","6"
"568",-23,"4","6"
"569",-23,"4","6"
"570",-23,"4","1"
"571",-23,"4","4"
"572",-23,"4","1"
"573",-23,"4","3"
"574",-23,"4","4"
"575",-23,"4","4"
"576",-23,"4","1"
"577",-23,"4","1"
"578",-23,"4","1"
"579",-23,"4","4"
"580",-23,"4","4"
"581",-23,"4","3"
"582",-23,"4","1"
"583",-23,"4","2"
"584",-23,"4","2"
"585",-23,"4","1"
"586",-23,"4","4"
"587",-23,"4","6"
"588",-23,"4","4"
"589",-23,"4","1"
"590",-23,"4","5"
"591",-23,"4","4"
"592",-23,"4","3"
"593",-23,"4","3"
"594",-23,"4","1"
"595",-23,"4","4"
"596",-23,"4","6"
"597",-23,"4","6"
"598",-23,"4","1"
"599",-23,"4","1"
"600",-23,"4","5"
"601",-22,"4","1"
"602",-22,"4","5"
"603",-22,"4","6"
"604",-22,"4","4"
"605",-22,"4","6"
"606",-22,"4","6"
"607",-22,"4","5"
"608",-22,"4","2"
"609",-22,"4","3"
"610",-22,"4","2"
"611",-22,"4","5"
"612",-22,"4","3"
"613",-22,"4","2"
"614",-22,"4","2"
"615",-22,"4","1"
"616",-22,"4","2"
"617",-22,"4","1"
"618",-22,"4","3"
"619",-22,"4","5"
"620",-22,"4","3"
"621",-22,"4","1"
"622",-22,"4","4"
"623",-22,"4","4"
"624",-22,"4","2"
"625",-22,"4","1"
"626",-22,"4","4"
"627",-22,"4","4"
"628",-22,"4","2"
"629",-22,"4","1"
"630",-22,"4","2"
"631",-22,"4","1"
"632",-22,"4","2"
"633",-22,"4","1"
"634",-22,"4","2"
"635",-22,"4","4"
"636",-22,"4","3"
"637",-22,"4","4"
"638",-22,"4","2"
"639",-22,"4","5"
"640",-22,"4","1"
"641",-22,"4","4"
"642",-22,"4","1"
"643",-22,"4","1"
"644",-22,"4","4"
"645",-22,"4","1"
"646",-22,"4","1"
"647",-22,"4","1"
"648",-22,"4","1"
"649",-22,"4","1"
"650",-22,"4","6"
"651",-22,"4","2"
"652",-22,"4","5"
"653",-22,"4","1"
"654",-22,"4","1"
"655",-22,"4","5"
"656",-22,"4","1"
"657",-22,"4","1"
"658",-22,"4","1"
"659",-22,"4","6"
"660",-22,"4","1"
"661",-22,"4","3"
"662",-22,"4","1"
"663",-22,"4","4"
"664",-22,"4","4"
"665",-22,"4","4"
"666",-22,"4","4"
"667",-22,"4","1"
"668",-22,"4","4"
"669",-22,"4","5"
"670",-22,"4","1"
"671",-22,"4","3"
"672",-22,"4","5"
"673",-22,"4","2"
"674",-22,"4","6"
"675",-22,"4","1"
"676",-22,"4","6"
"677",-22,"4","1"
"678",-22,"4","3"
"679",-22,"4","3"
"680",-22,"4","1"
"681",-22,"4","1"
"682",-22,"4","2"
"683",-22,"4","4"
"684",-22,"4","2"
"685",-22,"4","5"
"686",-22,"4","2"
"687",-22,"4","1"
"688",-22,"4","3"
"689",-22,"4","4"
"690",-22,"4","1"
"691",-22,"4","3"
"692",-22,"4","6"
"693",-22,"4","1"
"694",-22,"4","1"
"695",-22,"4","1"
"696",-22,"4","3"
"697",-22,"4","1"
"698",-22,"4","4"
"699",-22,"4","6"
"700",-22,"4","1"
"701",-22,"4","1"
"702",-22,"4","4"
"703",-22,"4","2"
"704",-22,"4","4"
"705",-22,"4","3"
"706",-22,"4","3"
"707",-22,"4","1"
"708",-22,"4","3"
"709",-22,"4","1"
"710",-22,"4","4"
"711",-22,"4","4"
"712",-22,"4","5"
"713",-22,"4","4"
"714",-22,"4","4"
"715",-22,"4","6"
"716",-22,"4","4"
"717",-22,"4","5"
"718",-22,"4","4"
"719",-22,"4","5"
"720",-22,"4","1"
"721",-22,"4","1"
"722",-22,"4","4"
"723",-22,"4","1"
"724",-22,"4","1"
"725",-22,"4","2"
"726",-22,"4","1"
"727",-22,"4","1"
"728",-22,"4","6"
"729",-22,"4","3"
"730",-22,"4","4"
"731",-22,"4","1"
"732",-22,"4","1"
"733",-22,"4","5"
"734",-22,"4","5"
"735",-22,"4","4"
"736",-22,"4","1"
"737",-22,"4","1"
"738",-22,"4","1"
"739",-22,"4","3"
"740",-22,"4","1"
"741",-22,"4","1"
"742",-22,"4","3"
"743",-22,"4","5"
"744",-22,"4","5"
"745",-22,"4","5"
"746",-22,"4","1"
"747",-22,"4","1"
"748",-22,"4","4"
"749",-22,"4","3"
"750",-22,"4","5"
"751",-22,"4","1"
"752",-22,"4","1"
"753",-22,"4","2"
"754",-22,"4","5"
"755",-22,"4","5"
"756",-22,"4","3"
"757",-22,"4","3"
"758",-22,"4","1"
"759",-22,"4","6"
"760",-22,"4","4"
"761",-22,"4","1"
"762",-22,"4","5"
"763",-22,"4","4"
"764",-22,"4","3"
"765",-22,"4","3"
"766",-22,"4","3"
"767",-22,"4","1"
"768",-22,"4","3"
"769",-22,"4","6"
"770",-22,"4","3"
"771",-22,"4","1"
"772",-22,"4","5"
"773",-22,"4","4"
"774",-22,"4","6"
"775",-22,"4","4"
"776",-22,"4","6"
"777",-22,"4","4"
"778",-22,"4","1"
"779",-22,"4","3"
"780",-22,"4","5"
"781",-22,"4","1"
"782",-22,"4","2"
"783",-22,"4","1"
"784",-22,"4","1"
"785",-22,"4","5"
"786",-22,"4","4"
"787",-22,"4","5"
"788",-22,"4","3"
"789",-22,"4","3"
"790",-22,"4","1"
"791",-22,"4","5"
"792",-22,"4","3"
"793",-22,"4","1"
"794",-22,"4","5"
"795",-22,"4","6"
"796",-22,"4","4"
"797",-22,"4","6"
"798",-22,"4","1"
"799",-22,"4","1"
"800",-22,"4","1"
"801",-21,"4","1"
"802",-21,"4","1"
"803",-21,"4","3"
"804",-21,"4","5"
"805",-21,"4","5"
"806",-21,"4","1"
"807",-21,"4","4"
"808",-21,"4","4"
"809",-21,"4","1"
"810",-21,"4","5"
"811",-21,"4","1"
"812",-21,"4","1"
"813",-21,"4","6"
"814",-21,"4","6"
"815",-21,"4","5"
"816",-21,"4","1"
"817",-21,"4","6"
"818",-21,"4","1"
"819",-21,"4","2"
"820",-21,"4","5"
"821",-21,"4","6"
"822",-21,"4","3"
"823",-21,"4","6"
"824",-21,"4","4"
"825",-21,"4","6"
"826",-21,"4","1"
"827",-21,"4","4"
"828",-21,"4","2"
"829",-21,"4","4"
"830",-21,"4","2"
"831",-21,"4","2"
"832",-21,"4","1"
"833",-21,"4","4"
"834",-21,"4","1"
"835",-21,"4","5"
"836",-21,"4","1"
"837",-21,"4","5"
"838",-21,"4","2"
"839",-21,"4","2"
"840",-21,"4","1"
"841",-21,"4","2"
"842",-21,"4","4"
"843",-21,"4","4"
"844",-21,"4","5"
"845",-21,"4","1"
"846",-21,"4","2"
"847",-21,"4","5"
"848",-21,"4","6"
"849",-21,"4","1"
"850",-21,"4","1"
"851",-21,"4","1"
"852",-21,"4","5"
"853",-21,"4","5"
"854",-21,"4","4"
"855",-21,"4","1"
"856",-21,"4","1"
"857",-21,"4","1"
"858",-21,"4","5"
"859",-21,"4","1"
"860",-21,"4","5"
"861",-21,"4","6"
"862",-21,"4","1"
"863",-21,"4","1"
"864",-21,"4","1"
"865",-21,"4","1"
"866",-21,"4","4"
"867",-21,"4","1"
"868",-21,"4","3"
"869",-21,"4","2"
"870",-21,"4","1"
"871",-21,"4","5"
"872",-21,"4","4"
"873",-21,"4","1"
"874",-21,"4","1"
"875",-21,"4","1"
"876",-21,"4","6"
"877",-21,"4","4"
"878",-21,"4","4"
"879",-21,"4","4"
"880",-21,"4","1"
"881",-21,"4","1"
"882",-21,"4","2"
"883",-21,"4","2"
"884",-21,"4","5"
"885",-21,"4","4"
"886",-21,"4","6"
"887",-21,"4","6"
"888",-21,"4","4"
"889",-21,"4","5"
"890",-21,"4","5"
"891",-21,"4","1"
"892",-21,"4","3"
"893",-21,"4","5"
"894",-21,"4","4"
"895",-21,"4","3"
"896",-21,"4","1"
"897",-21,"4","5"
"898",-21,"4","4"
"899",-21,"4","1"
"900",-21,"4","2"
"901",-21,"4","1"
"902",-21,"4","6"
"903",-21,"4","1"
"904",-21,"4","5"
"905",-21,"4","1"
"906",-21,"4","6"
"907",-21,"4","5"
"908",-21,"4","4"
"909",-21,"4","1"
"910",-21,"4","3"
"911",-21,"4","4"
"912",-21,"4","1"
"913",-21,"4","4"
"914",-21,"4","4"
"915",-21,"4","4"
"916",-21,"4","5"
"917",-21,"4","4"
"918",-21,"4","4"
"919",-21,"4","6"
"920",-21,"4","3"
"921",-21,"4","4"
"922",-21,"4","5"
"923",-21,"4","1"
"924",-21,"4","5"
"925",-21,"4","2"
"926",-21,"4","1"
"927",-21,"4","4"
"928",-21,"4","4"
"929",-21,"4","3"
"930",-21,"4","5"
"931",-21,"4","1"
"932",-21,"4","2"
"933",-21,"4","5"
"934",-21,"4","5"
"935",-21,"4","6"
"936",-21,"4","2"
"937",-21,"4","1"
"938",-21,"4","5"
"939",-21,"4","1"
"940",-21,"4","3"
"941",-21,"4","6"
"942",-21,"4","1"
"943",-21,"4","1"
"944",-21,"4","4"
"945",-21,"4","5"
"946",-21,"4","1"
"947",-21,"4","4"
"948",-21,"4","3"
"949",-21,"4","4"
"950",-21,"4","5"
"951",-21,"4","4"
"952",-21,"4","1"
"953",-21,"4","1"
"954",-21,"4","1"
"955",-21,"4","5"
"956",-21,"4","5"
"957",-21,"4","5"
"958",-21,"4","1"
"959",-21,"4","2"
"960",-21,"4","4"
"961",-21,"4","6"
"962",-21,"4","3"
"963",-21,"4","1"
"964",-21,"4","6"
"965",-21,"4","1"
"966",-21,"4","3"
"967",-21,"4","6"
"968",-21,"4","5"
"969",-21,"4","2"
"970",-21,"4","1"
"971",-21,"4","1"
"972",-21,"4","5"
"973",-21,"4","5"
"974",-21,"4","3"
"975",-21,"4","4"
"976",-21,"4","4"
"977",-21,"4","1"
"978",-21,"4","4"
"979",-21,"4","1"
"980",-21,"4","4"
"981",-21,"4","4"
"982",-21,"4","3"
"983",-21,"4","6"
"984",-21,"4","1"
"985",-21,"4","4"
"986",-21,"4","4"
"987",-21,"4","6"
"988",-21,"4","3"
"989",-21,"4","2"
"990",-21,"4","5"
"991",-21,"4","4"
"992",-21,"4","6"
"993",-21,"4","6"
"994",-21,"4","1"
"995",-21,"4","2"
"996",-21,"4","4"
"997",-21,"4","5"
"998",-21,"4","1"
"999",-21,"4","2"
"1000",-21,"4","1"
"1001",-20,"4","4"
"1002",-20,"4","2"
"1003",-20,"4","2"
"1004",-20,"4","1"
"1005",-20,"4","4"
"1006",-20,"4","5"
"1007",-20,"4","5"
"1008",-20,"4","4"
"1009",-20,"4","1"
"1010",-20,"4","4"
"1011",-20,"4","4"
"1012",-20,"4","5"
"1013",-20,"4","6"
"1014",-20,"4","5"
"1015",-20,"4","1"
"1016",-20,"4","5"
"1017",-20,"4","4"
"1018",-20,"4","1"
"1019",-20,"4","5"
"1020",-20,"4","5"
"1021",-20,"4","1"
"1022",-20,"4","3"
"1023",-20,"4","4"
"1024",-20,"4","1"
"1025",-20,"4","1"
"1026",-20,"4","5"
"1027",-20,"4","1"
"1028",-20,"4","4"
"1029",-20,"4","5"
"1030",-20,"4","4"
"1031",-20,"4","3"
"1032",-20,"4","4"
"1033",-20,"4","4"
"1034",-20,"4","2"
"1035",-20,"4","6"
"1036",-20,"4","4"
"1037",-20,"4","2"
"1038",-20,"4","6"
"1039",-20,"4","4"
"1040",-20,"4","3"
"1041",-20,"4","4"
"1042",-20,"4","1"
"1043",-20,"4","4"
"1044",-20,"4","1"
"1045",-20,"4","2"
"1046",-20,"4","6"
"1047",-20,"4","5"
"1048",-20,"4","5"
"1049",-20,"4","2"
"1050",-20,"4","4"
"1051",-20,"4","2"
"1052",-20,"4","6"
"1053",-20,"4","1"
"1054",-20,"4","4"
"1055",-20,"4","2"
"1056",-20,"4","3"
"1057",-20,"4","4"
"1058",-20,"4","6"
"1059",-20,"4","1"
"1060",-20,"4","3"
"1061",-20,"4","3"
"1062",-20,"4","3"
"1063",-20,"4","1"
"1064",-20,"4","1"
"1065",-20,"4","3"
"1066",-20,"4","6"
"1067",-20,"4","6"
"1068",-20,"4","2"
"1069",-20,"4","5"
"1070",-20,"4","5"
"1071",-20,"4","1"
"1072",-20,"4","4"
"1073",-20,"4","4"
"1074",-20,"4","4"
"1075",-20,"4","4"
"1076",-20,"4","6"
"1077",-20,"4","2"
"1078",-20,"4","1"
"1079",-20,"4","1"
"1080",-20,"4","3"
"1081",-20,"4","1"
"1082",-20,"4","3"
"1083",-20,"4","1"
"1084",-20,"4","6"
"1085",-20,"4","2"
"1086",-20,"4","6"
"1087",-20,"4","1"
"1088",-20,"4","1"
"1089",-20,"4","2"
"1090",-20,"4","6"
"1091",-20,"4","4"
"1092",-20,"4","4"
"1093",-20,"4","5"
"1094",-20,"4","4"
"1095",-20,"4","3"
"1096",-20,"4","4"
"1097",-20,"4","5"
"1098",-20,"4","2"
"1099",-20,"4","6"
"1100",-20,"4","5"
"1101",-20,"4","6"
"1102",-20,"4","2"
"1103",-20,"4","2"
"1104",-20,"4","3"
"1105",-20,"4","6"
"1106",-20,"4","3"
"1107",-20,"4","5"
"1108",-20,"4","2"
"1109",-20,"4","4"
"1110",-20,"4","4"
"1111",-20,"4","2"
"1112",-20,"4","4"
"1113",-20,"4","5"
"1114",-20,"4","1"
"1115",-20,"4","3"
"1116",-20,"4","3"
"1117",-20,"4","1"
"1118",-20,"4","3"
"1119",-20,"4","3"
"1120",-20,"4","6"
"1121",-20,"4","1"
"1122",-20,"4","4"
"1123",-20,"4","1"
"1124",-20,"4","5"
"1125",-20,"4","2"
"1126",-20,"4","1"
"1127",-20,"4","2"
"1128",-20,"4","1"
"1129",-20,"4","5"
"1130",-20,"4","4"
"1131",-20,"4","6"
"1132",-20,"4","1"
"1133",-20,"4","1"
"1134",-20,"4","5"
"1135",-20,"4","6"
"1136",-20,"4","1"
"1137",-20,"4","2"
"1138",-20,"4","5"
"1139",-20,"4","1"
"1140",-20,"4","1"
"1141",-20,"4","5"
"1142",-20,"4","6"
"1143",-20,"4","2"
"1144",-20,"4","5"
"1145",-20,"4","5"
"1146",-20,"4","3"
"1147",-20,"4","2"
"1148",-20,"4","1"
"1149",-20,"4","1"
"1150",-20,"4","2"
"1151",-20,"4","5"
